,,Jan,,Feb,,Mar,,Apr,,May,,Jun,,Jul,,Aug,,Sep,,Oct,,Nov,,Dec,
Eva Care,مصر الجديدة,0,0,688,27,1070,42,3210,126,2140,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glow,المهندسين,0,0,1181,51,0,0,0,0,0,0,2918,126,0,0,0,0,0,0,0,0,0,0,0,0
Hair Clinic,المهندسين,0,0,0,0,0,0,0,0,0,0,0,0,570,18,0,0,0,0,0,0,0,0,0,0
Skin Clinic,المهندسين,5864,108,0,0,0,0,0,0,1459,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acetone & Rose water & Joli Eva,المهندسين,0,0,0,0,0,0,0,0,0,0,0,0,125,12,0,0,0,0,0,0,0,0,0,0
Baby,المهندسين,0,0,71,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eva Care,مصر الجديدة,0,0,0,0,185,4,185,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glow,المهندسين,167,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hair Clinic,المهندسين,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,6,0,0,0,0,0,0,153,6
Skin Clinic,المهندسين,0,0,63,3,0,0,0,0,146,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eva Care,مصر الجديدة,0,0,97,6,306,12,185,4,0,0,49,3,0,0,0,0,0,0,153,6,153,6,0,0
Glow,المهندسين,0,0,42,3,0,0,0,0,0,0,0,0,139,6,0,0,0,0,0,0,0,0,0,0
Hair Clinic,المهندسين,104,3,0,0,139,3,0,0,0,0,76,3,0,0,0,0,0,0,0,0,0,0,0,0
Recipe,المهندسين,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,6
Skin Clinic,المهندسين,63,3,0,0,0,0,0,0,146,3,0,0,0,0,0,0,125,6,0,0,0,0,0,0
Acetone & Rose water & Joli Eva,المهندسين,0,0,0,0,0,0,0,0,0,0,0,0,125,12,0,0,0,0,0,0,0,0,0,0
Eva Care,مصر الجديدة,0,0,0,0,185,4,135,9,0,0,0,0,0,0,0,0,49,3,0,0,0,0,0,0
Glow,المهندسين,167,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,6,0,0,0,0,0,0
Hair Clinic,الزمالك,0,0,69,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Skin Clinic,المهندسين,0,0,63,3,0,0,0,0,146,3,0,0,0,0,125,6,0,0,0,0,0,0,0,0
Eva Care,مصر الجديدة,0,0,0,0,153,6,153,6,0,0,0,0,0,0,0,0,0,0,153,6,153,6,0,0
Glow,المهندسين,0,0,0,0,0,0,0,0,0,0,0,0,139,6,139,6,0,0,0,0,0,0,0,0
Hair Clinic,الزمالك,188,6,139,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Recipe,المهندسين,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,6
Skin Clinic,المهندسين,0,0,0,0,0,0,0,0,146,3,0,0,0,0,0,0,125,6,0,0,0,0,0,0
Sun & Sea,المهندسين,0,0,0,0,0,0,0,0,0,0,125,3,0,0,0,0,0,0,0,0,0,0,0,0
Eva Care,مصر الجديدة,0,0,0,0,185,4,153,6,0,0,0,0,0,0,97,6,0,0,153,6,189,4,0,0
Glow,المهندسين,167,12,0,0,0,0,0,0,0,0,0,0,0,0,139,6,0,0,0,0,0,0,0,0
Hair Clinic,الزمالك,0,0,0,0,0,0,0,0,0,0,111,3,104,3,0,0,0,0,0,0,0,0,0,0
Recipe,المهندسين,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,6
Skin Clinic,المهندسين,0,0,146,3,0,0,0,0,146,3,0,0,0,0,63,3,125,6,0,0,0,0,0,0
Eva Care,مصر الجديدة,0,0,49,3,185,4,135,9,135,9,0,0,279,10.5,0,0,0,0,0,0,0,0,0,0
Glow,المهندسين,167,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hair Clinic,الزمالك,0,0,80,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,3,0,0,153,6
Skin Clinic,المهندسين,0,0,0,0,0,0,0,0,146,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acetone & Rose water & Joli Eva,المهندسين,0,0,0,0,0,0,0,0,0,0,0,0,125,12,0,0,0,0,0,0,0,0,0,0
Eva Care,مصر الجديدة,0,0,49,3,446,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glow,المهندسين,0,0,87,6,42,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hair Clinic,الزمالك,0,0,0,0,0,0,0,0,0,0,101,3,0,0,174,6,104,3,0,0,0,0,0,0
Skin Clinic,المهندسين,139,3,0,0,0,0,125,6,146,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GPC,المهندسين,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8420,876,2668,192,0,0
Hair Clinic,الزمالك,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eva Care,مصر الجديدة,0,0,0,0,0,0,135,9,135,9,0,0,0,0,153,6,146,9,0,0,0,0,0,0
Glow,المهندسين,167,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hair Clinic,الزمالك,0,0,139,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,6
Recipe,المهندسين,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,6,0,0,0,0
Skin Clinic,المهندسين,0,0,0,0,0,0,0,0,146,3,125,6,0,0,0,0,0,0,0,0,0,0,0,0
Eva Care,مصر الجديدة,0,0,49,3,0,0,135,9,153,6,0,0,0,0,153,6,146,9,0,0,0,0,45,3
Glow,المهندسين,167,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hair Clinic,الزمالك,0,0,76,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Recipe,المهندسين,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,3,0,0,0,0
Skin Clinic,المهندسين,0,0,0,0,0,0,0,0,146,3,125,6,0,0,0,0,0,0,0,0,0,0,63,3
Eva Care,مصر الجديدة,0,0,0,0,0,0,0,0,0,0,8559,336,2140,84,0,0,0,0,0,0,0,0,0,0
Skin Clinic,المهندسين,0,0,0,0,0,0,0,0,0,0,4342,75,4342,75,0,0,0,0,0,0,0,0,0,0
Eva Care,مصر الجديدة,0,0,3325,72,0,0,0,0,1070,42,2883,114,2140,84,0,0,0,0,0,0,0,0,0,0
Eva Care,مصر الجديدة,0,0,0,0,369,8,0,0,0,0,0,0,0,0,146,9,189,4,153,6,189,4,0,0
Hair Clinic,الزمالك,139,3,139,3,0,0,0,0,0,0,104,3,104,3,0,0,0,0,0,0,0,0,0,0
Recipe,الزمالك,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,6
Skin Clinic,المهندسين,31,0.5,0,0,0,0,125,6,146,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acetone & Rose water & Joli Eva,المهندسين,0,0,0,0,0,0,0,0,0,0,0,0,125,12,0,0,0,0,0,0,0,0,0,0
Eva Care,مصر الجديدة,0,0,0,0,0,0,153,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glow,المهندسين,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,3,0,0,0,0,0,0
Hair Clinic,الزمالك,0,0,0,0,0,0,0,0,0,0,101,3,0,0,160,6,0,0,0,0,0,0,0,0
Skin Clinic,المهندسين,0,0,125,6,0,0,0,0,146,3,0,0,0,0,0,0,63,3,0,0,0,0,0,0
Acetone & Rose water & Joli Eva,المهندسين,0,0,0,0,0,0,0,0,0,0,0,0,125,12,0,0,0,0,0,0,0,0,0,0
Eva Care,مصر الجديدة,0,0,185,4,153,6,153,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glow,المهندسين,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,9,0,0,0,0,0,0
GPC,المهندسين,0,0,0,0,0,0,0,0,0,0,83,12,0,0,0,0,146,15,103,15,0,0,0,0
Hair Clinic,الزمالك,0,0,0,0,0,0,0,0,0,0,188,6,0,0,153,3,0,0,0,0,0,0,0,0
Recipe,الزمالك,0,0,333,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,6,0,0,0,0
Skin Clinic,المهندسين,125,6,0,0,0,0,0,0,146,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun & Sea,المهندسين,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,3,0,0,0,0,0,0,0,0
Acetone & Rose water & Joli Eva,المهندسين,0,0,0,0,8,0.5,0,0,0,0,0,0,750,72,0,0,0,0,0,0,0,0,750,72
Eva Care,مصر الجديدة,1108,24,445,19,4297,171,3477,120,3041,85,76,3,2714,92,2329,71,724,28,0,0,110,6.5,333,15
Glow,المهندسين,0,0,0,0,327,21,208,9,3543,255,0,0,333,24,38,3,83,6,625,27,0,0,0,0
GPC,المهندسين,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,9,0,0,0,0,0,0,0,0
Hair Clinic,الزمالك,205,6,292,6,879,27,1799,54,521,15,299,9,1018,33,198,6,570,15,657,21,104,3,156,6
Other,المهندسين,0,0,625,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Skin Clinic,المهندسين,0,0,139,3,1914,42,2053,69,333,15,125,6,379,9,778,21,63,3,125,6,0,0,712,33
Eva Care,مصر الجديدة,0,0,0,0,0,0,185,4,0,0,146,9,0,0,153,6,49,3,0,0,0,0,153,6
Hair Clinic,الزمالك,104,3,153,6,122,3,0,0,0,0,0,0,0,0,104,3,0,0,0,0,0,0,0,0
Recipe,الزمالك,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,3,0,0,0,0
Skin Clinic,المهندسين,63,3,0,0,0,0,0,0,146,3,0,0,0,0,0,0,87,3,0,0,0,0,0,0
Eva Care,مصر الجديدة,0,0,185,4,153,6,153,6,0,0,153,6,139,6,0,0,0,0,153,6,0,0,139,6
Hair Clinic,المهندسين,87,3,0,0,0,0,0,0,0,0,0,0,104,3,0,0,0,0,0,0,0,0,0,0
Man Look Hair Gel,المهندسين,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,3,0,0,0,0,0,0
Recipe,الزمالك,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,6,0,0
Skin Clinic,المهندسين,83,3,0,0,0,0,0,0,146,3,0,0,0,0,0,0,87,3,0,0,0,0,0,0
Eva Care,مصر الجديدة,0,0,0,0,0,0,185,4,0,0,49,3,0,0,0,0,49,3,0,0,0,0,0,0
Glow,المهندسين,0,0,0,0,139,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hair Clinic,المهندسين,0,0,156,6,0,0,0,0,0,0,87,3,0,0,104,3,0,0,0,0,0,0,0,0
Recipe,الزمالك,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,3,0,0,0,0
Skin Clinic,المهندسين,125,6,0,0,0,0,0,0,146,3,0,0,0,0,0,0,87,3,0,0,0,0,125,6
Eva Care,المهندسين,185,4,185,4,153,6,153,6,0,0,153,6,139,6,189,4,189,4,104,6,49,3,0,0
Hair Clinic,المهندسين,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,3,104,3
Skin Clinic,المهندسين,0,0,0,0,0,0,0,0,146,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eva Care,المهندسين,0,0,0,0,185,4,153,6,0,0,0,0,139,6,0,0,0,0,0,0,0,0,181,12
Glow,المهندسين,167,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hair Clinic,المهندسين,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,3,0,0,122,3,0,0,0,0
Skin Clinic,المهندسين,0,0,146,3,0,0,0,0,146,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acetone & Rose water & Joli Eva,المهندسين,0,0,0,0,0,0,0,0,0,0,0,0,250,24,0,0,0,0,0,0,0,0,0,0
Eva Care,المهندسين,0,0,0,0,0,0,153,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glow,المهندسين,0,0,12,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hair Clinic,المهندسين,0,0,94,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Skin Clinic,المهندسين,0,0,63,3,0,0,0,0,146,3,0,0,0,0,125,6,139,3,0,0,0,0,0,0
Acetone & Rose water & Joli Eva,المهندسين,0,0,0,0,0,0,0,0,0,0,0,0,125,12,0,0,94,9,0,0,0,0,0,0
Eva Care,المهندسين,149,9,0,0,153,6,153,6,0,0,0,0,0,0,189,4,76,3,0,0,0,0,0,0
Hair Clinic,المهندسين,0,0,139,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eva Care,المهندسين,0,0,0,0,185,4,153,6,0,0,0,0,139,6,0,0,0,0,135,9,0,0,181,12
Glow,المهندسين,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,3,0,0
Hair Clinic,المهندسين,0,0,122,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,3,0,0
Skin Clinic,المهندسين,0,0,0,0,0,0,0,0,146,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acetone & Rose water & Joli Eva,المهندسين,0,0,0,0,0,0,0,0,0,0,0,0,125,12,0,0,0,0,0,0,0,0,0,0
Eva Care,المهندسين,0,0,0,0,369,8,45,3,0,0,0,0,0,0,0,0,49,3,0,0,0,0,0,0
Glow,المهندسين,167,12,0,0,0,0,0,0,0,0,0,0,0,0,139,6,69,3,0,0,0,0,0,0
Hair Clinic,المهندسين,0,0,122,3,0,0,80,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Skin Clinic,المهندسين,0,0,0,0,0,0,0,0,146,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eva Care,المهندسين,185,4,185,4,153,6,153,6,0,0,153,6,0,0,342,10,189,4,0,0,49,3,0,0
Hair Clinic,الوراق,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,3,104,3
Skin Clinic,مصر الجديدة,0,0,0,0,0,0,0,0,146,3,0,0,0,0,0,0,0,0,146,3,0,0,0,0
Acetone & Rose water & Joli Eva,مصر الجديدة,0,0,0,0,0,0,0,0,0,0,0,0,125,12,0,0,0,0,0,0,0,0,0,0
Eva Care,الوراق,0,0,0,0,369,8,49,3,0,0,0,0,0,0,0,0,189,4,0,0,0,0,0,0
Glow,الوراق,167,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hair Clinic,الوراق,0,0,0,0,0,0,101,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Skin Clinic,مصر الجديدة,0,0,139,3,0,0,0,0,0,0,0,0,0,0,188,9,0,0,0,0,0,0,0,0
Eva Care,المهندسين,0,0,0,0,0,0,185,4,0,0,0,0,139,6,0,0,189,4,0,0,45,3,0,0
Glow,المهندسين,0,0,129,9,219,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,6,0,0
Hair Clinic,الوراق,0,0,0,0,80,3,0,0,0,0,188,6,0,0,0,0,0,0,0,0,0,0,104,3
Recipe,الزمالك,0,0,0,0,0,0,0,0,167,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Skin Clinic,مصر الجديدة,125,6,125,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,3,0,0,0,0
Eva Care,المهندسين,0,0,0,0,185,4,153,6,0,0,0,0,0,0,0,0,49,3,0,0,0,0,0,0
Glow,المهندسين,0,0,139,6,0,0,0,0,0,0,0,0,0,0,139,6,69,3,0,0,0,0,0,0
Hair Clinic,الوراق,0,0,122,3,0,0,0,0,0,0,0,0,0,0,104,3,0,0,0,0,0,0,0,0
Eva Care,المهندسين,0,0,0,0,153,6,306,12,0,0,0,0,139,6,153,6,0,0,90,6,0,0,181,12
Glow,المهندسين,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,3,0,0,0,0
Hair Clinic,مصر الجديدة,104,3,139,6,0,0,0,0,0,0,0,0,0,0,104,3,0,0,0,0,0,0,0,0
Skin Clinic,مصر الجديدة,63,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eva Care,المهندسين,185,4,185,4,185,4,153,6,0,0,0,0,0,0,0,0,189,4,0,0,0,0,0,0
Hair Clinic,مصر الجديدة,0,0,0,0,0,0,0,0,0,0,104,3,0,0,0,0,0,0,0,0,0,0,104,3
Recipe,الزمالك,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,3,0,0,0,0
Skin Clinic,مصر الجديدة,0,0,0,0,0,0,0,0,146,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eva Care,المهندسين,0,0,0,0,49,3,0,0,0,0,0,0,0,0,0,0,189,4,153,6,189,4,0,0
Glow,المهندسين,125,9,0,0,69,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hair Clinic,مصر الجديدة,0,0,122,3,0,0,0,0,0,0,111,3,0,0,0,0,0,0,0,0,0,0,0,0
Skin Clinic,مصر الجديدة,0,0,0,0,0,0,0,0,146,3,0,0,0,0,139,3,0,0,0,0,0,0,125,6
Eva Care,المهندسين,185,4,185,4,185,4,153,6,0,0,153,6,0,0,0,0,189,4,153,6,153,6,0,0
Hair Clinic,مصر الجديدة,0,0,0,0,0,0,0,0,0,0,0,0,104,3,104,3,0,0,0,0,0,0,0,0
Skin Clinic,مصر الجديدة,0,0,0,0,0,0,0,0,146,3,0,0,0,0,0,0,0,0,0,0,0,0,125,6
Acetone & Rose water & Joli Eva,مصر الجديدة,0,0,0,0,0,0,0,0,0,0,0,0,125,12,0,0,0,0,0,0,0,0,0,0
Eva Care,المهندسين,0,0,97,6,0,0,153,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glow,المهندسين,0,0,208,9,59,3,0,0,0,0,0,0,0,0,135,9,0,0,0,0,0,0,0,0
Hair Clinic,مصر الجديدة,0,0,0,0,94,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Skin Clinic,مصر الجديدة,0,0,146,3,0,0,0,0,146,3,0,0,0,0,0,0,139,3,0,0,0,0,0,0
Eva Care,المهندسين,0,0,49,3,185,4,135,9,0,0,153,6,139,6,0,0,0,0,153,6,0,0,0,0
Glow,المهندسين,167,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hair Clinic,مصر الجديدة,0,0,80,3,0,0,0,0,0,0,0,0,0,0,0,0,153,3,0,0,122,3,0,0
Skin Clinic,مصر الجديدة,0,0,0,0,0,0,0,0,146,3,0,0,0,0,0,0,0,0,0,0,0,0,146,3
Acetone & Rose water & Joli Eva,مصر الجديدة,0,0,0,0,0,0,0,0,28,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eva Care,الوراق,0,0,49,3,0,0,49,3,0,0,0,0,139,6,189,4,189,4,0,0,49,3,0,0
Glow,الوراق,167,12,0,0,69,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hair Clinic,مصر الجديدة,0,0,0,0,83,3,101,3,111,3,188,6,0,0,0,0,0,0,104,3,69,3,104,3
Skin Clinic,مصر الجديدة,0,0,83,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acetone & Rose water & Joli Eva,مصر الجديدة,0,0,0,0,0,0,0,0,0,0,0,0,125,12,0,0,0,0,0,0,0,0,0,0
Eva Care,الوراق,174,12,0,0,153,6,153,6,0,0,0,0,0,0,189,4,0,0,0,0,0,0,0,0
Hair Clinic,مصر الجديدة,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,6,0,0,0,0,0,0,0,0
Eva Care,مصر الجديدة,0,0,76,6,0,0,153,6,0,0,0,0,139,6,0,0,189,4,0,0,125,6,135,9
Glow,مصر الجديدة,0,0,0,0,59,3,0,0,0,0,0,0,0,0,0,0,0,0,125,9,0,0,0,0
GPC,مصر الجديدة,0,0,78,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hair Clinic,مصر الجديدة,0,0,174,6,94,3,0,0,0,0,188,6,0,0,0,0,0,0,0,0,0,0,0,0
Skin Clinic,مصر الجديدة,0,0,0,0,0,0,0,0,146,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eva Care,مصر الجديدة,0,0,0,0,0,0,153,6,0,0,153,6,139,6,0,0,342,10,0,0,0,0,0,0
Glow,مصر الجديدة,167,12,0,0,122,6,0,0,0,0,0,0,0,0,45,3,0,0,139,6,0,0,0,0
GPC,مصر الجديدة,0,0,21,3,0,0,0,0,21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hair Clinic,مصر الجديدة,0,0,0,0,177,6,0,0,104,3,0,0,0,0,0,0,0,0,0,0,153,3,0,0
Skin Clinic,مصر الجديدة,0,0,295,9,0,0,0,0,0,0,0,0,0,0,63,3,0,0,0,0,0,0,146,3
Eva Care,مصر الجديدة,0,0,0,0,0,0,49,3,0,0,0,0,0,0,0,0,189,4,189,4,0,0,0,0
Glow,مصر الجديدة,167,12,0,0,69,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GPC,مصر الجديدة,0,0,0,0,0,0,0,0,146,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hair Clinic,مصر الجديدة,0,0,0,0,83,3,101,3,0,0,104,3,0,0,0,0,0,0,0,0,0,0,0,0
Recipe,الزمالك,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,6
Skin Clinic,مصر الجديدة,0,0,146,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eva Care,مصر الجديدة,185,4,185,4,185,4,153,6,0,0,69,3,0,0,0,0,189,4,189,4,0,0,189,4
Hair Clinic,مصر الجديدة,0,0,0,0,0,0,0,0,0,0,83,3,0,0,0,0,0,0,0,0,0,0,0,0
Skin Clinic,مصر الجديدة,0,0,0,0,0,0,0,0,146,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eva Care,مصر الجديدة,195,12,0,0,174,9,153,6,0,0,153,6,139,6,0,0,0,0,0,0,97,6,0,0
Glow,مصر الجديدة,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,6,0,0,0,0
Hair Clinic,مصر الجديدة,0,0,122,3,0,0,0,0,0,0,0,0,0,0,0,0,104,3,0,0,0,0,101,3
Skin Clinic,مصر الجديدة,0,0,0,0,0,0,0,0,146,3,0,0,0,0,0,0,0,0,0,0,63,3,0,0
Acetone & Rose water & Joli Eva,مصر الجديدة,0,0,0,0,0,0,0,0,0,0,0,0,125,12,0,0,0,0,0,0,0,0,0,0
Eva Care,مصر الجديدة,0,0,0,0,49,3,49,3,0,0,0,0,0,0,0,0,189,4,0,0,0,0,0,0
Glow,مصر الجديدة,167,12,0,0,0,0,0,0,0,0,0,0,0,0,139,6,0,0,0,0,0,0,0,0
Hair Clinic,مصر الجديدة,0,0,0,0,83,3,101,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Skin Clinic,مصر الجديدة,0,0,146,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun & Sea,مصر الجديدة,0,0,0,0,0,0,0,0,125,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acetone & Rose water & Joli Eva,مصر الجديدة,0,0,0,0,0,0,0,0,0,0,0,0,125,12,0,0,0,0,0,0,0,0,0,0
Eva Care,مصر الجديدة,185,4,185,4,153,6,153,6,0,0,0,0,0,0,189,4,69,3,0,0,0,0,0,0
Glow,مصر الجديدة,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,3,0,0,0,0,0,0
Skin Clinic,مصر الجديدة,146,3,0,0,0,0,0,0,292,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eva Care,مصر الجديدة,69,3,185,4,153,6,153,6,0,0,153,6,0,0,0,0,189,4,0,0,0,0,135,9
Glow,مصر الجديدة,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,9,0,0,0,0
Hair Clinic,مصر الجديدة,0,0,0,0,0,0,0,0,0,0,201,6,0,0,0,0,0,0,0,0,0,0,0,0
Skin Clinic,مصر الجديدة,83,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,3,0,0
Eva Care,مصر الجديدة,0,0,0,0,76,3,306,12,0,0,153,6,431,18,0,0,189,4,189,4,0,0,0,0
Glow,مصر الجديدة,0,0,0,0,94,6,0,0,0,0,0,0,0,0,0,0,0,0,139,6,0,0,0,0
Hair Clinic,مصر الجديدة,0,0,122,3,94,3,0,0,0,0,0,0,0,0,208,6,0,0,0,0,0,0,267,9
Skin Clinic,مصر الجديدة,153,3,146,3,0,0,0,0,438,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
